Белогорск (Республика Крым),Численность населения 16 213
Подпорожье (Ленинградская область),Численность населения 16 160
Козельск (Калужская область),Численность населения 16 160
Жуковка (Брянская область),Численность населения 16 133
Гаврилов-Ям (Ярославская область),Численность населения 16 122
Новомичуринск (Рязанская область),Численность населения 16 118
Поронайск (Сахалинская область),Численность населения 16 117
Судак (Республика Крым),Численность населения 15 969
Почеп (Брянская область),Численность населения 15 963
Рыльск (Курская область),Численность населения 15 943
Волгореченск (Костромская область),Численность населения 15 908
Бикин (Хабаровский край),Численность населения 15 900
Сельцо (Брянская область),Численность населения 15 867
Бородино (Красноярский край),Численность населения 15 838
Мамадыш (Республика Татарстан),Численность населения 15 796
Камызяк (Астраханская область),Численность населения 15 647
Кирсанов (Тамбовская область),Численность населения 15 553
Новоаннинский (Волгоградская область),Численность населения 15 551
Ковдор (Мурманская область),Численность населения 15 525
Петровск-Забайкальский (Забайкальский край),Численность населения 15 438
Плавск (Тульская область),Численность населения 15 429
Магас (Республика Ингушетия),Численность населения 15 279
Талица (Свердловская область),Численность населения 15 227
Межгорье (Республика Башкортостан),Численность населения 15 192
Ужур (Красноярский край),Численность населения 15 170
Барыш (Ульяновская область),Численность населения 15 149
Болотное (Новосибирская область),Численность населения 15 135
Катав-Ивановск (Челябинская область),Численность населения 15 126
Кодинск (Красноярский край),Численность населения 15 116
Касли (Челябинская область),Численность населения 15 111
Анадырь (Чукотский автономный округ),Численность населения 15 079
Жирновск (Волгоградская область),Численность населения 15 055
Карабаново (Владимирская область),Численность населения 15 054
Цивильск (Чувашская Республика - Чувашия),Численность населения 15 025
Яранск (Кировская область),Численность населения 15 015
Калининск (Саратовская область),Численность населения 15 011
Белокуриха (Алтайский край),Численность населения 14 991
Дегтярск (Свердловская область),Численность населения 14 973
Приволжск (Ивановская область),Численность населения 14 944
Ивдель (Свердловская область),Численность населения 14 935
Осташков (Тверская область),Численность населения 14 912
Советск (Кировская область),Численность населения 14 869
Ясный (Оренбургская область),Численность населения 14 846
Светогорск (Ленинградская область),Численность населения 14 731
Иланский (Красноярский край),Численность населения 14 673
Новоузенск (Саратовская область),Численность населения 14 650
Шлиссельбург (Ленинградская область),Численность населения 14 643
Грязовец (Вологодская область),Численность населения 14 633
Ясногорск (Тульская область),Численность населения 14 603
Пестово (Новгородская область),Численность населения 14 589
Щигры (Курская область),Численность населения 14 556
Абаза (Республика Хакасия),Численность населения 14 501
Красновишерск (Пермский край),Численность населения 14 496
Бокситогорск (Ленинградская область),Численность населения 14 491
Сухиничи (Калужская область),Численность населения 14 484
Кондрово (Калужская область),Численность населения 14 462
Нерчинск (Забайкальский край),Численность населения 14 447
Мантурово (Костромская область),Численность населения 14 400
Данилов (Ярославская область),Численность населения 14 331
Цимлянск (Ростовская область),Численность населения 14 309
Ленинск (Волгоградская область),Численность населения 14 221
Полярные Зори (Мурманская область),Численность населения 14 209
Навашино (Нижегородская область),Численность населения 14 194
Очёр (Пермский край),Численность населения 14 143
Палласовка (Волгоградская область),Численность населения 14 033
Невель (Псковская область),Численность населения 13 969
Заполярный (Мурманская область),Численность населения 13 939
Жуков (Калужская область),Численность населения 13 902
Жердевка (Тамбовская область),Численность населения 13 727
Валдай (Новгородская область),Численность населения 13 724
Купино (Новосибирская область),Численность населения 13 695
Лакинск (Владимирская область),Численность населения 13 682
Красный Кут (Саратовская область),Численность населения 13 661
Ак-Довурак (Республика Тыва),Численность населения 13 640
Медвежьегорск (Республика Карелия),Численность населения 13 620
Агидель (Республика Башкортостан),Численность населения 13 616
Яхрома (Московская область),Численность населения 13 573
Венёв (Тульская область),Численность населения 13 558
Чудово (Новгородская область),Численность населения 13 531
Трубчевск (Брянская область),Численность населения 13 514
Лукоянов (Нижегородская область),Численность населения 13 419
Новоульяновск (Ульяновская область),Численность населения 13 367
Кашин (Тверская область),Численность населения 13 282
Гвардейск (Калининградская область),Численность населения 13 223
Пересвет (Московская область),Численность населения 13 130
Николаевск (Волгоградская область),Численность населения 13 097
Обоянь (Курская область),Численность населения 13 076
Меленки (Владимирская область),Численность населения 13 042
Первомайск (Нижегородская область),Численность населения 13 011
Снежногорск (Мурманская область),Численность населения 12 995
Вяземский (Хабаровский край),Численность населения 12 992
Кизел (Пермский край),Численность населения 12 977
Дубовка (Волгоградская область),Численность населения 12 948
Удачный (Республика Саха (Якутия)),Численность населения 12 918
Адыгейск (Республика Адыгея),Численность населения 12 910
Могоча (Забайкальский край),Численность населения 12 861
Пионерский (Калининградская область),Численность населения 12 860
Гаджиево (Мурманская область),Численность населения 12 731
Струнино (Владимирская область),Численность населения 12 699
Свирск (Иркутская область),Численность населения 12 602
Лагань (Республика Калмыкия),Численность населения 12 597
Краснозаводск (Московская область),Численность населения 12 542
Гороховец (Владимирская область),Численность населения 12 442
Талдом (Московская область),Численность населения 12 423
Фокино (Брянская область),Численность населения 12 364
Байкальск (Иркутская область),Численность населения 12 321
Емва (Республика Коми),Численность населения 12 309
Шилка (Забайкальский край),Численность населения 12 270
Урень (Нижегородская область),Численность населения 12 244
Руза (Московская область),Численность населения 12 218
Катайск (Курганская область),Численность населения 12 171
Белёв (Тульская область),Численность населения 12 151
Петров Вал (Волгоградская область),Численность населения 12 130
Калязин (Тверская область),Численность населения 12 114
Сясьстрой (Ленинградская область),Численность населения 12 069
Хвалынск (Саратовская область),Численность населения 12 032
Бодайбо (Иркутская область),Численность населения 11 978
Сим (Челябинская область),Численность населения 11 946
Долинск (Сахалинская область),Численность населения 11 891
Горняк (Алтайский край),Численность населения 11 866
Южа (Ивановская область),Численность населения 11 837
Уяр (Красноярский край),Численность населения 11 825
Далматово (Курганская область),Численность населения 11 824
Петушки (Владимирская область),Численность населения 11 651
Чаплыгин (Липецкая область),Численность населения 11 621
Камешково (Владимирская область),Численность населения 11 603
Новая Ляля (Свердловская область),Численность населения 11 465
Волосово (Ленинградская область),Численность населения 11 429
Белоусово (Калужская область),Численность населения 11 418
Александровск (Пермский край),Численность населения 11 409
Бабаево (Вологодская область),Численность населения 11 396
Вилюйск (Республика Саха (Якутия)),Численность населения 11 347
Шагонар (Республика Тыва),Численность населения 11 347
Торопец (Тверская область),Численность населения 11 314
Дрезна (Московская область),Численность населения 11 283
Лихославль (Тверская область),Численность населения 11 175
Нязепетровск (Челябинская область),Численность населения 11 121
Чкаловск (Нижегородская область),Численность населения 11 107
Аркадак (Саратовская область),Численность населения 11 099
Закаменск (Республика Бурятия),Численность населения 11 042
Горнозаводск (Пермский край),Численность населения 10 964
Богучар (Воронежская область),Численность населения 10 905
Сорск (Республика Хакасия),Численность населения 10 894
Южно-Сухокумск (Республика Дагестан),Численность населения 10 861
Киренск (Иркутская область),Численность населения 10 839
Звенигово (Республика Марий Эл),Численность населения 10 797
Чулым (Новосибирская область),Численность населения 10 764
Неман (Калининградская область),Численность населения 10 680
Кораблино (Рязанская область),Численность населения 10 645
Тетюши (Республика Татарстан),Численность населения 10 601
Балей (Забайкальский край),Численность населения 10 560
Называевск (Омская область),Численность населения 10 541
Нариманов (Астраханская область),Численность населения 10 467
Карабаш (Челябинская область),Численность населения 10 445
Болхов (Орловская область),Численность населения 10 435
Юрюзань (Челябинская область),Численность населения 10 431
Ермолино (Калужская область),Численность населения 10 418
Сураж (Брянская область),Численность населения 10 414
Сосновка (Кировская область),Численность населения 10 404
Верхний Тагил (Свердловская область),Численность населения 10 270
Хилок (Забайкальский край),Численность населения 10 235
Высоковск (Московская область),Численность населения 10 223
Кемь (Республика Карелия),Численность населения 10 222
Дигора (Республика Северная Осетия - Алания),Численность населения 10 195
Сосенский (Калужская область),Численность населения 10 138
Боровск (Калужская область),Численность населения 10 101
Тюкалинск (Омская область),Численность населения 10 076
Змеиногорск (Алтайский край),Численность населения 10 069
Вытегра (Вологодская область),Численность населения 10 063
Кремёнки (Калужская область),Численность населения 10 040
Ворсма (Нижегородская область),Численность населения 10 034
Камбарка (Удмуртская Республика),Численность населения 9 974
Каргополь (Архангельская область),Численность населения 9 962
Малая Вишера (Новгородская область),Численность населения 9 949
Щёлкино (Республика Крым),Численность населения 9 919
